# tau,g2,stdg2,g3,stdg3
0.000002,1.000000,0.000000,1.000000,0.000000
0.000002,0.999959,0.000114,0.998100,0.000114
0.000002,1.000007,0.000197,0.993072,0.000197
0.000002,0.999958,0.000280,0.985650,0.000280
0.000001,1.000020,0.000445,0.976426,0.000445
0.000001,0.999930,0.000580,0.965565,0.000580
0.000001,0.999872,0.000657,0.954485,0.000657
0.000001,1.000004,0.000627,0.942001,0.000627
0.000001,0.999966,0.000788,0.929439,0.000788
0.000001,1.000209,0.000882,0.915705,0.000882
0.000001,0.999971,0.001066,0.902227,0.001066
0.000001,0.999883,0.001071,0.888792,0.001071
0.000001,0.999721,0.001031,0.874481,0.001031
0.000001,1.000097,0.001097,0.861069,0.001097
0.000001,1.000238,0.001102,0.848562,0.001102
0.000001,0.999804,0.001227,0.833964,0.001227
0.000001,0.999903,0.001459,0.822604,0.001459
0.000001,0.999827,0.001198,0.811045,0.001198
0.000001,0.999568,0.001326,0.795967,0.001326
0.000001,0.999476,0.001422,0.784059,0.001422
0.000001,0.999701,0.001434,0.772770,0.001434
0.000001,0.999675,0.001514,0.760222,0.001514
0.000001,0.999778,0.001463,0.749472,0.001463
0.000001,0.999811,0.001661,0.739347,0.001661
0.000001,0.999625,0.001863,0.728102,0.001863
0.000001,0.999903,0.001585,0.717832,0.001585
0.000001,0.999893,0.001874,0.705202,0.001874
0.000001,0.999819,0.001443,0.697731,0.001443
0.000001,1.000181,0.001912,0.686380,0.001912
0.000001,1.000152,0.002135,0.674730,0.002135
0.000001,1.000390,0.002123,0.665818,0.002123
0.000001,1.000191,0.002127,0.659104,0.002127
0.000001,1.000181,0.001956,0.648031,0.001956
0.000000,0.999385,0.001836,0.641051,0.001836
0.000000,0.999914,0.002085,0.631651,0.002085
0.000000,0.999298,0.002012,0.622348,0.002012
0.000000,1.000502,0.002115,0.615323,0.002115
0.000000,0.999700,0.002444,0.607019,0.002444
0.000000,0.999899,0.002085,0.595503,0.002085
0.000000,0.999876,0.001827,0.591457,0.001827
0.000000,1.000012,0.002341,0.583974,0.002341
0.000000,1.000358,0.002465,0.576428,0.002465
0.000000,1.000382,0.002565,0.568342,0.002565
0.000000,1.000543,0.001998,0.563079,0.001998
0.000000,1.000258,0.002001,0.552704,0.002001
0.000000,0.999617,0.002618,0.548959,0.002618
0.000000,1.000217,0.001981,0.545847,0.001981
0.000000,1.000139,0.003010,0.534262,0.003010
0.000000,1.000342,0.002435,0.530832,0.002435
0.000000,0.999534,0.003016,0.525108,0.003016
0.000000,1.000139,0.002498,0.518495,0.002498
0.000000,0.999927,0.002633,0.510010,0.002633
0.000000,1.000240,0.002590,0.504719,0.002590
0.000000,1.000995,0.002630,0.497907,0.002630
0.000000,0.999422,0.002912,0.494877,0.002912
0.000000,1.000209,0.002381,0.492522,0.002381
0.000000,1.000112,0.003026,0.484964,0.003026
0.000000,0.999324,0.003220,0.479701,0.003220
0.000000,1.000298,0.002870,0.473051,0.002870
0.000000,1.000497,0.002842,0.470947,0.002842
0.000000,0.999823,0.002440,0.463522,0.002440
0.000000,1.000716,0.002875,0.460384,0.002875
0.000000,1.000176,0.002991,0.454719,0.002991
0.000000,1.000779,0.003061,0.450611,0.003061
0.000000,0.999864,0.002840,0.443040,0.002840
0.000000,1.000942,0.003100,0.443041,0.003100
0.000000,0.999914,0.003500,0.439440,0.003500
0.000000,1.000268,0.003212,0.434133,0.003212
0.000000,1.000142,0.003581,0.427638,0.003581
0.000000,1.000105,0.003524,0.425723,0.003524
0.000000,1.000092,0.003355,0.422240,0.003355
0.000000,1.000322,0.003458,0.418832,0.003458
0.000000,0.999559,0.003571,0.414056,0.003571
0.000000,1.000642,0.003001,0.410219,0.003001
0.000000,0.999026,0.003635,0.407729,0.003635
0.000000,1.000330,0.002780,0.401533,0.002780
0.000000,0.999830,0.003128,0.398805,0.003128
0.000000,0.999877,0.004081,0.393560,0.004081
0.000000,0.999642,0.003802,0.389194,0.003802
0.000000,1.000740,0.003333,0.391127,0.003333
0.000000,1.000015,0.003294,0.385400,0.003294
0.000000,1.000292,0.003894,0.379852,0.003894
0.000000,1.000800,0.003500,0.377369,0.003500
0.000000,0.999669,0.003019,0.375745,0.003019
0.000000,0.999741,0.002981,0.370805,0.002981
0.000000,0.999513,0.003811,0.367512,0.003811
0.000000,0.999821,0.004005,0.365871,0.004005
0.000000,0.999746,0.003439,0.361070,0.003439
0.000000,0.999825,0.003515,0.360774,0.003515
0.000000,0.999403,0.003561,0.353224,0.003561
0.000000,1.000119,0.003672,0.354664,0.003672
0.000000,0.999649,0.003570,0.350805,0.003570
0.000000,1.000173,0.003184,0.346693,0.003184
0.000000,0.999382,0.003619,0.343756,0.003619
0.000000,1.000208,0.003187,0.342916,0.003187
0.000000,0.999775,0.003591,0.344794,0.003591
0.000000,0.999742,0.003539,0.340605,0.003539
0.000000,1.000048,0.004231,0.333546,0.004231
0.000000,1.000417,0.004325,0.335491,0.004325
0.000000,1.000204,0.003881,0.330713,0.003881
